time_sec,x,y,path_length
736.983,-1.9998981921573948,-0.5000010689462813,0.00016893708521949948
737.017,-1.9998982001933514,-0.5000010689239235,0.00016894512120716837
737.051,-1.9998981979045667,-0.5000010688932501,0.0001689474101974123
737.085,-1.9998981853254785,-0.5000010688310499,0.0001689599894394087
737.119,-1.9998981618962453,-0.5000010689543638,0.00016898341899714264
737.153,-1.9998981641847806,-0.5000010689135276,0.00016898570789681205
737.187,-1.999898165517649,-0.5000010689669556,0.00016898704183569612
737.221,-1.9998981797727895,-0.5000010688598807,0.00016900129737822876
737.255,-1.9998981903407964,-0.5000010689640627,0.0001690118658986561
737.289,-1.9998981986074256,-0.5000010689569937,0.00016902013253083755
737.323,-1.9998981965960854,-0.5000010689259617,0.000169022144110417
737.357,-1.9998981842911845,-0.5000010688635316,0.0001690344491696649
737.391,-1.9998981612429745,-0.5000010689296651,0.0001690574974745523
737.425,-1.9998981401106637,-0.5000010689863486,0.0001690786298613636
737.459,-1.9998981292221625,-0.5000010689869288,0.00016908951836259084
737.493,-1.9998981395200437,-0.5000010689421203,0.00016909981634129093
737.527,-1.9998981489131813,-0.500001068998218,0.00016910920964640375
737.561,-1.9998981709731092,-0.5000010688971583,0.000169131269805771
737.595,-1.9998981815232069,-0.5000010690122688,0.00016914182053141293
737.629,-1.999898186237748,-0.5000010690098478,0.00016914653507323646
737.663,-1.9998981860237866,-0.5000010690061562,0.00016914674906659595
737.697,-1.9998981768075053,-0.5000010689837087,0.00016915596537522652
737.731,-1.999898157333817,-0.5000010689330032,0.00016917543912945717
737.765,-1.9998981286110498,-0.5000010689726561,0.00016920416192410398
737.799,-1.9998981212620544,-0.5000010689962365,0.00016921151095734702
737.833,-1.9998981131253564,-0.5000010690242531,0.00016921964770356282
737.867,-1.9998981249452978,-0.5000010689855968,0.00016923146770824406
737.901,-1.9998981419325375,-0.5000010690438297,0.0001692484550476709
737.935,-1.9998981589650413,-0.5000010689249551,0.00016926548796634695
737.969,-1.9998981621898941,-0.5000010690005505,0.00016926871370508985
738.003,-1.9998981567945793,-0.5000010690469351,0.00016927410921933623
738.037,-1.9998981468638097,-0.5000010690416359,0.00016928403999029012
738.071,-1.9998981305299013,-0.5000010690264886,0.0001693003739057616
738.105,-1.9998981097547637,-0.5000010689785959,0.00016932114909857499
738.139,-1.9998980970299498,-0.5000010690563589,0.00016933387415005207
738.173,-1.9998980918443223,-0.5000010690556466,0.00016933905977758396
738.207,-1.9998981118709793,-0.5000010689907667,0.000169359086539678
738.241,-1.9998981206072235,-0.5000010690747183,0.00016936782318721104
738.275,-1.999898143597518,-0.5000010690432555,0.00016939081350329687
738.309,-1.9998981503941318,-0.5000010690019685,0.0001693976102424137
738.343,-1.9998981466386314,-0.5000010690013139,0.0001694013657428259
738.377,-1.9998981324147242,-0.5000010690882423,0.00016941558991561472
738.411,-1.9998981125470037,-0.5000010690771608,0.00016943545763928495
738.445,-1.9998980878545722,-0.5000010690657636,0.00016946015007334814
738.479,-1.9998980705175766,-0.5000010690930168,0.0001694774870903856
738.513,-1.999898074510004,-0.5000010690466489,0.0001694814797869118
738.547,-1.9998980775671296,-0.5000010691011654,0.00016948453739862242
738.581,-1.9998980935312505,-0.5000010689949469,0.00016950050187289893
738.615,-1.999898105808675,-0.5000010690999803,0.00016951277974680394
738.649,-1.99989811577086,-0.5000010690936828,0.00016952274193364922
738.683,-1.999898115446791,-0.5000010690633766,0.0001695230674166421
738.717,-1.9998981048209565,-0.5000010690016444,0.00016953369343039574
738.751,-1.9998980834463,-0.5000010690684371,0.0001695550681912434
738.785,-1.9998980639778259,-0.50000106912573,0.0001695745367497115
738.819,-1.9998980547462197,-0.5000010691268859,0.00016958376835593005
738.853,-1.9998980666922193,-0.5000010690826119,0.00016959571443749645
738.887,-1.9998980671669955,-0.5000010691346177,0.00016959619205351932
738.921,-1.999898082170959,-0.5000010691159184,0.00016961119602879887
738.955,-1.9998980822602448,-0.5000010690864901,0.0001696112900392004
738.989,-1.9998980720568929,-0.5000010690252572,0.000169621493574877
739.023,-1.9998980509975175,-0.5000010691494859,0.00016964255331663962
739.057,-1.9998980484613398,-0.5000010691094824,0.00016964508980982367
739.091,-1.9998980429467381,-0.5000010691535466,0.00016965060458753163
739.125,-1.999898053547639,-0.5000010691135243,0.0001696612055639047
739.159,-1.9998980544025484,-0.5000010691654311,0.00016966206204772254
739.193,-1.9998980697798556,-0.5000010691467307,0.00016967743936629868
739.227,-1.9998980702400773,-0.5000010691172785,0.0001696779005293824
739.261,-1.9998980604064032,-0.5000010690560315,0.00016968773439420996
739.295,-1.9998980398224333,-0.5000010691233029,0.00016970831847399798
739.329,-1.9998980314219568,-0.5000010691656184,0.0001697167190571112
739.363,-1.9998980263950894,-0.5000010691821913,0.00016972174595179747
739.397,-1.9998980435148543,-0.5000010691051388,0.0001697388658901346
739.431,-1.9998980550892336,-0.5000010692011605,0.00016975044066766168
739.465,-1.999898066181507,-0.5000010691796868,0.0001697615329617694
739.499,-1.9998980669356452,-0.5000010691497724,0.0001697622876931509
739.533,-1.9998980573860983,-0.5000010690883065,0.00016977183743789283
739.567,-1.9998980370839163,-0.5000010691553529,0.00016979213973053583
739.601,-1.999898008283951,-0.5000010691942476,0.00016982093972210113
739.635,-1.9998980044966572,-0.5000010690996293,0.00016982472819765772
739.669,-1.9998980040964,-0.5000010692114816,0.00016982514378968472
739.703,-1.9998980071557482,-0.5000010692166671,0.00016982820314218755
739.737,-1.999898031867651,-0.500001069206393,0.00016985291504706965
739.771,-1.9998980439101404,-0.5000010692338754,0.0001698649575678789
739.805,-1.9998980514011537,-0.5000010692324554,0.00016987244858137867
739.839,-1.999898053965473,-0.5000010692298512,0.0001698750129019024
739.873,-1.9998980475149726,-0.5000010692083879,0.00016988146343796661
739.907,-1.999898030793766,-0.5000010691586042,0.00016989818471871806
739.941,-1.9998980036011935,-0.5000010691502876,0.00016992537729240584
739.975,-1.999897985479539,-0.5000010692366181,0.00016994349915266273
740.009,-1.9998979750214314,-0.5000010692456047,0.0001699539572640149
740.043,-1.9998979898512894,-0.500001069180721,0.0001699687872639626
740.077,-1.9998979935635943,-0.5000010692455993,0.00016997250013575226
740.111,-1.9998980189730236,-0.5000010691508723,0.00016999790974155134
740.145,-1.999898025003229,-0.5000010692229718,0.00017000394037800757
740.179,-1.9998980223961238,-0.5000010692705062,0.00017000654791650904
740.213,-1.9998980152392494,-0.5000010692662044,0.00017001370479222838
740.247,-1.9998980016664973,-0.5000010692519932,0.0001700272775517016
740.281,-1.999897977893775,-0.5000010692138985,0.00017005105030445917
740.315,-1.9998979560125099,-0.5000010692734741,0.0001700729316508056
740.349,-1.9998979589680819,-0.5000010692018719,0.00017007588809001063
740.383,-1.9998979699600103,-0.5000010692787448,0.00017008688028729375
740.417,-1.9998979766371403,-0.500001069296984,0.00017009355744216476
740.451,-1.999898001351495,-0.5000010692666285,0.0001701182718155918
740.485,-1.9998980109440412,-0.5000010692244361,0.0001701278644544727
740.519,-1.9998980099847479,-0.5000010692249238,0.00017012882374790812
740.553,-1.9998979985454863,-0.5000010693128736,0.00017014026334753813
740.587,-1.999897981444549,-0.5000010693027299,0.00017015736428787942
